Date,Price
32874,0.789
32875,0.7865
32876,0.7837
32877,0.7894
32878,0.785
32881,0.7858
32882,0.7874
32883,0.7897
32884,0.7929
32885,0.7932
32888,0.7937
32889,0.7925
32890,0.795
32891,0.7962
32892,0.7946
32895,0.796
32896,0.7767
32897,0.7658
32898,0.7613
32899,0.7712
32902,0.764
32903,0.768
32904,0.7736
32905,0.7731
32906,0.776
32909,0.7687
32910,0.767
32911,0.7592
32912,0.756
32913,0.7519
32916,0.7532
32917,0.7506
32918,0.746
32919,0.7526
32920,0.7577
32923,0.7615
32924,0.7592
32925,0.7685
32926,0.764
32927,0.768
32930,0.7684
32931,0.7575
32932,0.7606
32933,0.7655
32934,0.7621
32937,0.7607
32938,0.7631
32939,0.7623
32940,0.763
32941,0.761
32944,0.7597
32945,0.7645
32946,0.7642
32947,0.7585
32948,0.7545
32951,0.7565
32952,0.7583
32953,0.754
32954,0.7539
32955,0.749
32958,0.7473
32959,0.7477
32960,0.7483
32961,0.754
32962,0.7555
32965,0.7611
32966,0.7625
32967,0.768
32968,0.7667
32969,0.7656
32972,0.7634
32973,0.7665
32974,0.7665
32975,0.7687
32976,0.7657
32979,0.765
32980,0.7673
32981,0.7705
32982,0.7735
32983,0.7725
32986,0.7653
32987,0.7684
32988,0.7681
32989,0.7553
32990,0.753
32993,0.7533
32994,0.7465
32995,0.7542
32996,0.7572
32997,0.7573
33000,0.7571
33001,0.7592
33002,0.7576
33003,0.761
33004,0.7618
33007,0.7685
33008,0.766
33009,0.764
33010,0.764
33011,0.7639
33014,0.765
33015,0.7675
33016,0.765
33017,0.7634
33018,0.769
33021,0.769
33022,0.7676
33023,0.7735
33024,0.7688
33025,0.77
33028,0.7698
33029,0.7726
33030,0.7738
33031,0.7791
33032,0.7725
33035,0.7705
33036,0.7735
33037,0.7735
33038,0.7755
33039,0.7776
33042,0.7807
33043,0.7853
33044,0.7848
33045,0.791
33046,0.788
33049,0.784
33050,0.7874
33051,0.7875
33052,0.7879
33053,0.795
33056,0.7979
33057,0.7981
33058,0.8043
33059,0.7993
33060,0.7982
33063,0.8053
33064,0.807
33065,0.8
33066,0.797
33067,0.7795
33070,0.7857
33071,0.7953
33072,0.7782
33073,0.7833
33074,0.7874
33077,0.7835
33078,0.787
33079,0.7844
33080,0.7815
33081,0.79
33084,0.794
33085,0.7968
33086,0.7947
33087,0.785
33088,0.786
33091,0.79
33092,0.7931
33093,0.7955
33094,0.8005
33095,0.7977
33098,0.8037
33099,0.807
33100,0.8085
33101,0.806
33102,0.8095
33105,0.8086
33106,0.8155
33107,0.8225
33108,0.837
33109,0.831
33112,0.8387
33113,0.831
33114,0.8338
33115,0.8145
33116,0.8145
33119,0.8155
33120,0.8161
33121,0.8263
33122,0.8253
33123,0.8166
33126,0.8135
33127,0.8185
33128,0.8199
33129,0.8265
33130,0.826
33133,0.833
33134,0.8315
33135,0.8315
33136,0.8275
33137,0.828
33140,0.8326
33141,0.8315
33142,0.8315
33143,0.8272
33144,0.8265
33147,0.8303
33148,0.8295
33149,0.8244
33150,0.8335
33151,0.835
33154,0.8375
33155,0.834
33156,0.8265
33157,0.8157
33158,0.8182
33161,0.7908
33162,0.7875
33163,0.778
33164,0.7705
33165,0.783
33168,0.7815
33169,0.777
33170,0.7817
33171,0.7835
33172,0.7827
33175,0.7825
33176,0.782
33177,0.7863
33178,0.7847
33179,0.776
33182,0.7815
33183,0.787
33184,0.778
33185,0.7795
33186,0.7797
33189,0.7785
33190,0.774
33191,0.7705
33192,0.772
33193,0.7712
