Date,Price
1990/1/1,0.789
1990/1/2,0.7865
1990/1/3,0.7837
1990/1/4,0.7894
1990/1/5,0.785
1990/1/8,0.7858
1990/1/9,0.7874
1990/1/10,0.7897
1990/1/11,0.7929
1990/1/12,0.7932
1990/1/15,0.7937
1990/1/16,0.7925
1990/1/17,0.795
1990/1/18,0.7962
1990/1/19,0.7946
1990/1/22,0.796
1990/1/23,0.7767
1990/1/24,0.7658
1990/1/25,0.7613
1990/1/26,0.7712
1990/1/29,0.764
1990/1/30,0.768
1990/1/31,0.7736
1990/2/1,0.7731
1990/2/2,0.776
1990/2/5,0.7687
1990/2/6,0.767
1990/2/7,0.7592
1990/2/8,0.756
1990/2/9,0.7519
1990/2/12,0.7532
1990/2/13,0.7506
1990/2/14,0.746
1990/2/15,0.7526
1990/2/16,0.7577
1990/2/19,0.7615
1990/2/20,0.7592
1990/2/21,0.7685
1990/2/22,0.764
1990/2/23,0.768
1990/2/26,0.7684
1990/2/27,0.7575
1990/2/28,0.7606
1990/3/1,0.7655
1990/3/2,0.7621
1990/3/5,0.7607
1990/3/6,0.7631
1990/3/7,0.7623
1990/3/8,0.763
1990/3/9,0.761
1990/3/12,0.7597
1990/3/13,0.7645
1990/3/14,0.7642
1990/3/15,0.7585
1990/3/16,0.7545
1990/3/19,0.7565
1990/3/20,0.7583
1990/3/21,0.754
1990/3/22,0.7539
1990/3/23,0.749
1990/3/26,0.7473
1990/3/27,0.7477
1990/3/28,0.7483
1990/3/29,0.754
1990/3/30,0.7555
1990/4/2,0.7611
1990/4/3,0.7625
1990/4/4,0.768
1990/4/5,0.7667
1990/4/6,0.7656
1990/4/9,0.7634
1990/4/10,0.7665
1990/4/11,0.7665
1990/4/12,0.7687
1990/4/13,0.7657
1990/4/16,0.765
1990/4/17,0.7673
1990/4/18,0.7705
1990/4/19,0.7735
1990/4/20,0.7725
1990/4/23,0.7653
1990/4/24,0.7684
1990/4/25,0.7681
1990/4/26,0.7553
1990/4/27,0.753
1990/4/30,0.7533
1990/5/1,0.7465
1990/5/2,0.7542
1990/5/3,0.7572
1990/5/4,0.7573
1990/5/7,0.7571
1990/5/8,0.7592
1990/5/9,0.7576
1990/5/10,0.761
1990/5/11,0.7618
