Date,Price
32875,1.2146
32876,1.2096
32877,1.2287
32878,1.2358
32881,1.2452
32882,1.2356
32883,1.2361
32884,1.2367
32885,1.2409
32888,1.2317
32889,1.2271
32890,1.2343
32891,1.221
32892,1.2182
32895,1.2118
32896,1.2253
32897,1.2373
32898,1.2312
32899,1.2334
32902,1.2446
32903,1.2433
32904,1.2369
32905,1.2395
32906,1.2352
32909,1.247
32910,1.2568
32911,1.2574
32912,1.2461
32913,1.2427
32916,1.2477
32917,1.2407
32918,1.246
32919,1.2409
32920,1.2382
32923,1.2444
32924,1.2449
32925,1.2513
32926,1.2497
32927,1.2446
32930,1.2364
32931,1.2395
32932,1.2341
32933,1.2232
32934,1.2207
32937,1.2278
32938,1.23
32939,1.2249
32940,1.2284
32941,1.2287
32944,1.2252
32945,1.217
32946,1.2223
32947,1.2246
32948,1.2335
32951,1.2439
32952,1.2338
32953,1.2253
32954,1.2268
32955,1.2255
32958,1.2223
32959,1.2241
32960,1.2256
32961,1.2327
32962,1.2363
32965,1.2312
32966,1.234
32967,1.2349
32968,1.2335
32969,1.2373
32972,1.2405
32973,1.2402
32974,1.2522
32975,1.2533
32980,1.248
32981,1.2536
32982,1.2514
32983,1.2461
32986,1.237
32987,1.2392
32988,1.248
32989,1.2519
32990,1.25
32993,1.2511
32994,1.2495
32995,1.2477
32996,1.2494
32997,1.2572
33001,1.2668
33002,1.2806
33003,1.2789
33004,1.284
33007,1.2754
33008,1.2731
33009,1.276
33010,1.2729
33011,1.271
33014,1.2645
33015,1.2572
33016,1.2566
33017,1.2568
33018,1.2505
33022,1.2566
33023,1.2527
33024,1.2384
33025,1.2432
33028,1.2373
33029,1.2409
33030,1.2444
33031,1.2416
33032,1.2376
33035,1.2419
33036,1.2427
33037,1.2427
33038,1.2441
33039,1.2372
33042,1.2492
33043,1.2569
33044,1.2508
33045,1.2538
33046,1.2541
33049,1.256
33050,1.2557
33051,1.2649
33052,1.2612
33053,1.2625
33056,1.27
33057,1.2716
33058,1.2793
33059,1.2771
33060,1.2741
33063,1.2786
33064,1.2821
33065,1.2776
33066,1.2689
33067,1.2793
33070,1.2736
33071,1.276
33072,1.2847
33073,1.2811
33074,1.2824
33077,1.2913
33078,1.2965
33079,1.2977
33080,1.2984
33081,1.3033
33084,1.3092
33085,1.3236
33086,1.3217
33087,1.3137
33088,1.3228
33091,1.3373
33092,1.3339
33093,1.3203
33094,1.3217
33095,1.3203
33098,1.3364
33099,1.3399
33100,1.3512
33101,1.3463
33102,1.3543
33105,1.3475
33106,1.3483
33107,1.3494
33108,1.3545
33109,1.3526
33113,1.3541
33114,1.351
33115,1.3417
33116,1.3312
33119,1.3249
33120,1.325
33121,1.3387
33122,1.3445
33123,1.3389
33126,1.3278
33127,1.3172
33128,1.3233
33129,1.3222
33130,1.3417
33133,1.3481
33134,1.3526
33135,1.3374
33136,1.328
33137,1.3323
33140,1.3434
33141,1.3417
33142,1.3365
33143,1.3348
33144,1.338
33147,1.3508
33148,1.3466
33149,1.3534
33150,1.3633
33151,1.3631
33154,1.3652
33155,1.3725
33156,1.3717
33157,1.3646
33158,1.3768
33161,1.3757
33162,1.3801
33163,1.3881
33164,1.3858
33165,1.3914
33168,1.3845
33169,1.3799
33170,1.3864
33171,1.3889
33172,1.381
33175,1.3831
33176,1.3736
33177,1.3814
33178,1.3881
33179,1.3937
33182,1.401
33183,1.4096
33184,1.413
33185,1.4006
33186,1.4041
33189,1.4128
33190,1.414
33191,1.4178
33192,1.4116
33193,1.4188
33196,1.4211
33197,1.4138
33198,1.4138
33199,1.4104
33200,1.4055
33203,1.3994
33204,1.4102
33205,1.4073
33206,1.4037
33207,1.3891
33210,1.3849
33211,1.3887
33212,1.3881
33213,1.3967
33214,1.4073
33217,1.4168
33218,1.4106
33219,1.4094
33220,1.4077
33221,1.4037
33224,1.3994
33225,1.4012
33226,1.4063
33227,1.3918
33228,1.365
33231,1.3548
33234,1.3615
33235,1.3858
33238,1.3908
33240,1.3955
33241,1.3959
33242,1.3854
33245,1.3622
33246,1.3609
33247,1.3744
33248,1.362
33249,1.3622
33252,1.3519
33253,1.3523
33254,1.3499
33255,1.3738
33256,1.3839
33259,1.397
33260,1.393
33261,1.3961
33262,1.4085
33263,1.4012
33266,1.4027
33267,1.4063
33268,1.3945
33269,1.4069
33270,1.4211
33273,1.4233
33274,1.4274
33275,1.436
33276,1.4372
33277,1.4312
33280,1.4376
33281,1.436
33282,1.4329
33283,1.4261
33284,1.4138
33287,1.4071
33288,1.4035
33289,1.3961
33290,1.4019
33291,1.3959
33294,1.3736
33295,1.3702
33296,1.3736
33297,1.371
33298,1.3624
33301,1.3611
33302,1.3661
33303,1.3512
33304,1.3525
33305,1.3371
33308,1.3264
33309,1.3298
33310,1.324
33311,1.3242
33312,1.3087
33315,1.2816
33316,1.2695
33317,1.2708
33318,1.2765
33319,1.2755
33322,1.2544
33323,1.2346
33324,1.2241
33325,1.2253
33330,1.2415
33331,1.2533
33332,1.2541
33333,1.2535
33336,1.2413
33337,1.2527
33338,1.2497
33339,1.2561
33340,1.2495
33343,1.2583
33344,1.2595
33345,1.2593
33346,1.2463
33347,1.2111
33350,1.1903
33351,1.2044
33352,1.2047
33353,1.199
33354,1.1976
33357,1.1834
33358,1.2192
33359,1.2337
33360,1.2161
33361,1.2037
33365,1.2197
33366,1.2137
33367,1.2037
33368,1.2108
33371,1.2168
33372,1.2297
33373,1.2419
33374,1.2378
33375,1.2112
33378,1.2085
33379,1.2241
33380,1.2151
33381,1.2192
33382,1.2253
33386,1.2305
33387,1.2335
33388,1.2176
33389,1.2086
33392,1.1972
33393,1.2011
33394,1.1972
33395,1.1975
33396,1.186
33399,1.1832
33400,1.1822
33401,1.1692
33402,1.1633
33403,1.169
33406,1.1625
33407,1.1539
33408,1.165
33409,1.1677
33410,1.1616
33413,1.1729
33414,1.1644
33415,1.1727
33416,1.1677
33417,1.1549
33420,1.1541
33421,1.1416
33422,1.1447
