Date,Price
1990/1/2,1.2146
1990/1/3,1.2096
1990/1/4,1.2287
1990/1/5,1.2358
1990/1/8,1.2452
1990/1/9,1.2356
1990/1/10,1.2361
1990/1/11,1.2367
1990/1/12,1.2409
1990/1/15,1.2317
1990/1/16,1.2271
1990/1/17,1.2343
1990/1/18,1.221
1990/1/19,1.2182
1990/1/22,1.2118
1990/1/23,1.2253
1990/1/24,1.2373
1990/1/25,1.2312
1990/1/26,1.2334
1990/1/29,1.2446
1990/1/30,1.2433
1990/1/31,1.2369
1990/2/1,1.2395
1990/2/2,1.2352
1990/2/5,1.247
1990/2/6,1.2568
1990/2/7,1.2574
1990/2/8,1.2461
1990/2/9,1.2427
1990/2/12,1.2477
1990/2/13,1.2407
1990/2/14,1.246
1990/2/15,1.2409
1990/2/16,1.2382
1990/2/19,1.2444
1990/2/20,1.2449
1990/2/21,1.2513
1990/2/22,1.2497
1990/2/23,1.2446
1990/2/26,1.2364
1990/2/27,1.2395
1990/2/28,1.2341
1990/3/1,1.2232
1990/3/2,1.2207
1990/3/5,1.2278
1990/3/6,1.23
1990/3/7,1.2249
1990/3/8,1.2284
1990/3/9,1.2287
1990/3/12,1.2252
1990/3/13,1.217
1990/3/14,1.2223
1990/3/15,1.2246
1990/3/16,1.2335
1990/3/19,1.2439
1990/3/20,1.2338
1990/3/21,1.2253
1990/3/22,1.2268
1990/3/23,1.2255
1990/3/26,1.2223
1990/3/27,1.2241
1990/3/28,1.2256
1990/3/29,1.2327
1990/3/30,1.2363
1990/4/2,1.2312
1990/4/3,1.234
1990/4/4,1.2349
1990/4/5,1.2335
1990/4/6,1.2373
1990/4/9,1.2405
1990/4/10,1.2402
1990/4/11,1.2522
1990/4/12,1.2533
1990/4/17,1.248
1990/4/18,1.2536
1990/4/19,1.2514
1990/4/20,1.2461
1990/4/23,1.237
1990/4/24,1.2392
1990/4/25,1.248
1990/4/26,1.2519
1990/4/27,1.25
1990/4/30,1.2511
1990/5/1,1.2495
1990/5/2,1.2477
1990/5/3,1.2494
1990/5/4,1.2572
1990/5/8,1.2668
1990/5/9,1.2806
1990/5/10,1.2789
1990/5/11,1.284
1990/5/14,1.2754
1990/5/15,1.2731
1990/5/16,1.276
1990/5/17,1.2729
1990/5/18,1.271
1990/5/21,1.2645
1990/5/22,1.2572
1990/5/23,1.2566
1990/5/24,1.2568
1990/5/25,1.2505
1990/5/29,1.2566
1990/5/30,1.2527
1990/5/31,1.2384
1990/6/1,1.2432
1990/6/4,1.2373
1990/6/5,1.2409
1990/6/6,1.2444
1990/6/7,1.2416
1990/6/8,1.2376
1990/6/11,1.2419
1990/6/12,1.2427
1990/6/13,1.2427
1990/6/14,1.2441
1990/6/15,1.2372
1990/6/18,1.2492
1990/6/19,1.2569
1990/6/20,1.2508
1990/6/21,1.2538
1990/6/22,1.2541
1990/6/25,1.256
1990/6/26,1.2557
1990/6/27,1.2649
1990/6/28,1.2612
1990/6/29,1.2625
1990/7/2,1.27
1990/7/3,1.2716
1990/7/4,1.2793
1990/7/5,1.2771
1990/7/6,1.2741
1990/7/9,1.2786
1990/7/10,1.2821
1990/7/11,1.2776
1990/7/12,1.2689
1990/7/13,1.2793
1990/7/16,1.2736
1990/7/17,1.276
1990/7/18,1.2847
1990/7/19,1.2811
1990/7/20,1.2824
1990/7/23,1.2913
1990/7/24,1.2965
1990/7/25,1.2977
1990/7/26,1.2984
1990/7/27,1.3033
1990/7/30,1.3092
1990/7/31,1.3236
1990/8/1,1.3217
1990/8/2,1.3137
1990/8/3,1.3228
1990/8/6,1.3373
1990/8/7,1.3339
1990/8/8,1.3203
1990/8/9,1.3217
1990/8/10,1.3203
1990/8/13,1.3364
1990/8/14,1.3399
1990/8/15,1.3512
1990/8/16,1.3463
1990/8/17,1.3543
1990/8/20,1.3475
1990/8/21,1.3483
1990/8/22,1.3494
1990/8/23,1.3545
1990/8/24,1.3526
1990/8/28,1.3541
