Date,Price
32874,1.6125
32875,1.61
32876,1.6125
32877,1.6355
32878,1.637
32881,1.653
32882,1.658
32883,1.6625
32884,1.661
32885,1.661
32888,1.667
32889,1.658
32890,1.6533
32891,1.6433
32892,1.6475
32895,1.6376
32896,1.6535
32897,1.6529
32898,1.6597
32899,1.6632
32902,1.6815
32903,1.6695
32904,1.678
32905,1.685
32906,1.684
32909,1.701
32910,1.703
32911,1.696
32912,1.6945
32913,1.696
32916,1.693
32917,1.6905
32918,1.6908
32919,1.6858
32920,1.6985
32923,1.7035
32924,1.712
32925,1.7145
32926,1.714
32927,1.711
32930,1.692
32931,1.69
32932,1.6775
32933,1.6645
32934,1.648
32937,1.645
32938,1.648
32939,1.647
32940,1.6395
32941,1.617
32944,1.6125
32945,1.6087
32946,1.6095
32947,1.6255
32948,1.619
32951,1.614
32952,1.6015
32953,1.596
32954,1.604
32955,1.6015
32958,1.6195
32959,1.6258
32960,1.6283
32961,1.6333
32962,1.648
32965,1.6345
32966,1.636
32967,1.6415
32968,1.6427
32969,1.6415
32972,1.635
32973,1.6455
32974,1.643
32975,1.6427
32976,1.637
32979,1.631
32980,1.6385
32981,1.6405
32982,1.646
32983,1.6395
32986,1.636
32987,1.635
32988,1.641
32989,1.6345
32990,1.6355
32993,1.642
32994,1.645
32995,1.643
32996,1.64
32997,1.664
33000,1.668
33001,1.671
33002,1.6785
33003,1.68
33004,1.6795
33007,1.683
33008,1.677
33009,1.681
33010,1.6925
33011,1.691
33014,1.688
33015,1.6932
33016,1.6938
33017,1.6895
33018,1.69
33021,1.6945
33022,1.6945
33023,1.694
33024,1.678
33025,1.6815
33028,1.68
33029,1.6835
33030,1.6885
33031,1.689
33032,1.6833
33035,1.687
33036,1.704
33037,1.7115
33038,1.709
33039,1.71
33042,1.7155
33043,1.722
33044,1.7225
33045,1.7205
33046,1.733
33049,1.7305
33050,1.742
33051,1.7458
33052,1.739
33053,1.749
33056,1.7755
33057,1.776
33058,1.785
33059,1.7825
33060,1.787
33063,1.8085
33064,1.825
33065,1.8
33066,1.8138
33067,1.7995
33070,1.804
33071,1.8165
33072,1.8165
33073,1.8155
33074,1.819
33077,1.834
33078,1.8132
33079,1.8115
33080,1.815
33081,1.838
33084,1.8485
33085,1.8635
33086,1.8565
33087,1.8555
33088,1.859
33091,1.873
33092,1.874
33093,1.8705
33094,1.8675
33095,1.873
33098,1.883
33099,1.89
33100,1.901
33101,1.9095
33102,1.9235
33105,1.914
33106,1.915
33107,1.925
33108,1.9555
33109,1.937
33112,1.944
33113,1.946
33114,1.9463
33115,1.9175
33116,1.895
33119,1.8735
33120,1.8785
33121,1.907
33122,1.913
33123,1.8925
33126,1.859
33127,1.8575
33128,1.8595
33129,1.883
33130,1.894
33133,1.915
33134,1.9145
33135,1.885
33136,1.873
33137,1.847
33140,1.881
33141,1.869
33142,1.872
33143,1.8795
33144,1.8788
33147,1.8835
33148,1.893
33149,1.9025
33150,1.9155
33151,1.956
33154,1.975
33155,1.9638
33156,1.971
33157,1.978
33158,1.971
33161,1.9503
33162,1.967
33163,1.961
33164,1.9715
33165,1.959
33168,1.9465
33169,1.9485
33170,1.96
33171,1.955
33172,1.958
33175,1.9485
33176,1.956
33177,1.9435
33178,1.9455
33179,1.96
33182,1.9715
33183,1.966
33184,1.9698
33185,1.967
33186,1.967
33189,1.9635
33190,1.9645
33191,1.9603
33192,1.9575
33193,1.9691
33196,1.9745
33197,1.9665
33198,1.971
33199,1.97
33200,1.968
33203,1.969
33204,1.983
33205,1.9685
33206,1.944
33207,1.9435
33210,1.9165
33211,1.9305
33212,1.9265
33213,1.9405
33214,1.9518
33217,1.946
33218,1.9375
33219,1.945
33220,1.946
33221,1.937
33224,1.931
33225,1.9345
33226,1.931
33227,1.894
33228,1.888
33231,1.8745
33232,1.875
33233,1.882
33234,1.89
33235,1.9225
33238,1.93
33239,1.93
33240,1.943
33241,1.9455
33242,1.9355
33245,1.904
33246,1.896
33247,1.89
33248,1.9145
33249,1.908
33252,1.904
33253,1.9
33254,1.907
33255,1.9325
33256,1.9395
33259,1.962
33260,1.945
33261,1.961
33262,1.958
33263,1.957
33266,1.965
33267,1.959
33268,1.9638
33269,1.967
33270,1.9755
33273,1.9815
33274,1.9925
33275,2.0045
33276,1.9975
33277,1.989
33280,1.9985
33281,1.98
33282,1.986
33283,1.981
33284,1.9685
33287,1.9603
33288,1.952
33289,1.95
33290,1.9575
33291,1.9445
33294,1.925
33295,1.9198
33296,1.918
33297,1.913
33298,1.8953
33301,1.8965
33302,1.893
33303,1.896
33304,1.887
33305,1.865
33308,1.85
33309,1.858
33310,1.85
33311,1.852
33312,1.8225
33315,1.7935
33316,1.7695
33317,1.7867
33318,1.797
33319,1.7905
33322,1.7475
33323,1.7495
33324,1.7375
33325,1.741
33326,1.751
33329,1.771
33330,1.782
33331,1.7715
33332,1.7865
33333,1.7695
33336,1.7655
33337,1.791
33338,1.776
33339,1.791
33340,1.778
33343,1.7935
33344,1.7922
33345,1.7875
33346,1.7535
33347,1.722
33350,1.697
33351,1.709
33352,1.6995
33353,1.6925
33354,1.6915
33357,1.6985
33358,1.726
33359,1.7235
33360,1.72
33361,1.694
33364,1.71
33365,1.726
33366,1.72
33367,1.719
33368,1.719
33371,1.735
33372,1.7465
33373,1.754
33374,1.7498
33375,1.714
33378,1.7175
33379,1.738
33380,1.7295
33381,1.7355
33382,1.731
33385,1.7385
33386,1.7465
33387,1.728
33388,1.715
33389,1.698
33392,1.697
33393,1.699
33394,1.6935
33395,1.6878
33396,1.6715
33399,1.6715
33400,1.6657
33401,1.6435
33402,1.6355
33403,1.6385
33406,1.6265
33407,1.612
33408,1.635
33409,1.635
33410,1.627
33413,1.6465
33414,1.631
33415,1.639
33416,1.6345
33417,1.622
33420,1.6145
33421,1.6025
33422,1.606
33423,1.605
33424,1.6185
33427,1.6345
33428,1.623
33429,1.622
33430,1.6055
33431,1.651
