Date,Price
1990/1/1,0.5955
1990/1/2,0.5962
1990/1/3,0.5958
1990/1/4,0.6002
1990/1/5,0.5995
1990/1/8,0.598
1990/1/9,0.6057
1990/1/10,0.609
1990/1/11,0.6101
1990/1/12,0.613
1990/1/15,0.6107
1990/1/16,0.6111
1990/1/17,0.6135
1990/1/18,0.6155
1990/1/19,0.613
1990/1/22,0.6137
1990/1/23,0.6072
1990/1/24,0.597
1990/1/25,0.5972
1990/1/26,0.5945
1990/1/29,0.5972
1990/1/30,0.5981
1990/1/31,0.6017
1990/2/1,0.6015
1990/2/2,0.6025
1990/2/5,0.602
1990/2/6,0.6035
1990/2/7,0.5971
1990/2/8,0.5943
1990/2/9,0.594
1990/2/12,0.5935
1990/2/13,0.5908
1990/2/14,0.5846
1990/2/15,0.587
1990/2/16,0.59
1990/2/19,0.5905
1990/2/20,0.591
1990/2/21,0.5899
1990/2/22,0.5915
1990/2/23,0.592
1990/2/26,0.5895
1990/2/27,0.5898
1990/2/28,0.5898
1990/3/1,0.59
1990/3/2,0.59
1990/3/5,0.5905
1990/3/6,0.591
1990/3/7,0.5895
1990/3/8,0.5905
1990/3/9,0.5925
1990/3/12,0.5901
1990/3/13,0.5883
1990/3/14,0.5885
1990/3/15,0.5917
1990/3/16,0.5887
1990/3/19,0.5866
1990/3/20,0.5843
1990/3/21,0.5819
1990/3/22,0.5837
1990/3/23,0.58
1990/3/26,0.583
1990/3/27,0.5812
1990/3/28,0.5783
1990/3/29,0.5807
1990/3/30,0.58
1990/4/2,0.5803
1990/4/3,0.579
1990/4/4,0.5809
1990/4/5,0.5787
1990/4/6,0.5795
1990/4/9,0.58
1990/4/10,0.5807
1990/4/11,0.5802
1990/4/12,0.5818
1990/4/13,0.5818
1990/4/16,0.5803
1990/4/17,0.58
1990/4/18,0.58
1990/4/19,0.5832
1990/4/20,0.5845
1990/4/23,0.5825
1990/4/24,0.584
1990/4/25,0.5833
1990/4/26,0.5775
1990/4/27,0.577
1990/4/30,0.5772
1990/5/1,0.5695
1990/5/2,0.5728
1990/5/3,0.5747
1990/5/4,0.575
1990/5/7,0.5741
1990/5/8,0.5765
1990/5/9,0.5771
1990/5/10,0.5766
1990/5/11,0.5725
1990/5/14,0.5742
1990/5/15,0.5735
1990/5/16,0.5751
1990/5/17,0.5746
1990/5/18,0.5745
1990/5/21,0.5745
1990/5/22,0.5745
1990/5/23,0.574
1990/5/24,0.5755
1990/5/25,0.5757
1990/5/28,0.5757
1990/5/29,0.576
1990/5/30,0.5782
1990/5/31,0.5788
1990/6/1,0.5781
1990/6/4,0.5785
1990/6/5,0.5802
1990/6/6,0.5827
1990/6/7,0.5841
1990/6/8,0.5825
1990/6/11,0.5813
1990/6/12,0.579
1990/6/13,0.5825
1990/6/14,0.581
1990/6/15,0.584
1990/6/18,0.5835
1990/6/19,0.584
1990/6/20,0.5844
1990/6/21,0.588
1990/6/22,0.5878
1990/6/25,0.5876
1990/6/26,0.589
1990/6/27,0.5875
1990/6/28,0.589
1990/6/29,0.5902
1990/7/2,0.5912
1990/7/3,0.592
1990/7/4,0.5928
1990/7/5,0.5923
1990/7/6,0.5921
1990/7/9,0.5932
1990/7/10,0.5935
1990/7/11,0.5943
1990/7/12,0.5953
1990/7/13,0.5915
1990/7/16,0.5935
1990/7/17,0.5952
1990/7/18,0.5925
1990/7/19,0.592
1990/7/20,0.5965
1990/7/23,0.5973
1990/7/24,0.5957
1990/7/25,0.5909
1990/7/26,0.5877
1990/7/27,0.59
1990/7/30,0.593
1990/7/31,0.5956
1990/8/1,0.5963
1990/8/2,0.5938
1990/8/3,0.5953
1990/8/6,0.595
1990/8/7,0.603
1990/8/8,0.601
1990/8/9,0.6035
1990/8/10,0.6015
1990/8/13,0.608
1990/8/14,0.619
1990/8/15,0.618
1990/8/16,0.618
1990/8/17,0.6185
1990/8/20,0.618
1990/8/21,0.6225
1990/8/22,0.6272
1990/8/23,0.6323
1990/8/24,0.6312
1990/8/27,0.627
1990/8/28,0.6325
1990/8/29,0.6315
1990/8/30,0.615
1990/8/31,0.6158
1990/9/3,0.6153
1990/9/4,0.617
1990/9/5,0.626
1990/9/6,0.6248
1990/9/7,0.6197
1990/9/10,0.621
1990/9/11,0.619
1990/9/12,0.622
1990/9/13,0.6255
1990/9/14,0.6285
1990/9/17,0.6228
1990/9/18,0.6265
1990/9/19,0.622
1990/9/20,0.6207
1990/9/21,0.6132
1990/9/24,0.6212
1990/9/25,0.6225
1990/9/26,0.6175
1990/9/27,0.616
1990/9/28,0.6155
1990/10/1,0.6207
1990/10/2,0.6182
1990/10/3,0.6175
1990/10/4,0.615
1990/10/5,0.6168
1990/10/8,0.6225
1990/10/9,0.6195
1990/10/10,0.617
1990/10/11,0.6153
1990/10/12,0.617
1990/10/15,0.606
1990/10/16,0.607
1990/10/17,0.6025
1990/10/18,0.5991
1990/10/19,0.6071
1990/10/22,0.6085
1990/10/23,0.6038
1990/10/24,0.608
1990/10/25,0.6098
1990/10/26,0.6106
1990/10/29,0.6143
1990/10/30,0.6135
1990/10/31,0.6133
1990/11/1,0.6125
1990/11/2,0.6085
1990/11/5,0.6145
1990/11/6,0.6145
1990/11/7,0.613
1990/11/8,0.61
1990/11/9,0.6105
1990/11/12,0.6095
1990/11/13,0.6125
1990/11/14,0.61
1990/11/15,0.6096
1990/11/16,0.6097
1990/11/19,0.6097
1990/11/20,0.6128
1990/11/21,0.6112
1990/11/22,0.612
1990/11/23,0.614
1990/11/26,0.6115
1990/11/27,0.6105
1990/11/28,0.61
1990/11/29,0.609
1990/11/30,0.6089
1990/12/3,0.611
1990/12/4,0.6097
1990/12/5,0.6097
1990/12/6,0.6005
1990/12/7,0.604
1990/12/10,0.603
1990/12/11,0.6005
1990/12/12,0.601
1990/12/13,0.5961
1990/12/14,0.5981
1990/12/17,0.591
1990/12/18,0.5897
1990/12/19,0.591
1990/12/20,0.5892
1990/12/21,0.587
1990/12/24,0.5872
1990/12/25,0.5872
1990/12/26,0.589
1990/12/27,0.5845
1990/12/28,0.5861
1990/12/31,0.5876
1991/1/1,0.5876
1991/1/2,0.5928
1991/1/3,0.5945
1991/1/4,0.5934
1991/1/7,0.5939
1991/1/8,0.594
1991/1/9,0.5901
1991/1/10,0.5938
1991/1/11,0.5955
1991/1/14,0.5956
1991/1/15,0.5972
1991/1/16,0.5965
1991/1/17,0.5955
1991/1/18,0.5964
1991/1/21,0.5982
1991/1/22,0.5975
1991/1/23,0.5992
1991/1/24,0.5983
1991/1/25,0.5986
1991/1/28,0.5997
1991/1/29,0.5988
1991/1/30,0.6012
1991/1/31,0.5988
1991/2/1,0.598
1991/2/4,0.6017
1991/2/5,0.6005
1991/2/6,0.6035
1991/2/7,0.6047
1991/2/8,0.6005
1991/2/11,0.602
1991/2/12,0.6059
1991/2/13,0.6084
1991/2/14,0.608
1991/2/15,0.6075
1991/2/18,0.6075
1991/2/19,0.6065
1991/2/20,0.5972
1991/2/21,0.5983
1991/2/22,0.5995
1991/2/25,0.5985
1991/2/26,0.5985
1991/2/27,0.5998
1991/2/28,0.5994
1991/3/1,0.6035
1991/3/4,0.5996
1991/3/5,0.5997
1991/3/6,0.5954
1991/3/7,0.5943
1991/3/8,0.598
1991/3/11,0.5897
1991/3/12,0.5991
1991/3/13,0.5962
1991/3/14,0.5987
1991/3/15,0.5968
1991/3/18,0.5953
1991/3/19,0.596
1991/3/20,0.598
1991/3/21,0.596
1991/3/22,0.5967
1991/3/25,0.5885
1991/3/26,0.5886
1991/3/27,0.588
1991/3/28,0.5875
1991/3/29,0.588
1991/4/1,0.5885
1991/4/2,0.59
1991/4/3,0.5945
1991/4/4,0.5935
1991/4/5,0.5956
1991/4/8,0.5941
1991/4/9,0.5931
1991/4/10,0.59
1991/4/11,0.59
1991/4/12,0.5887
1991/4/15,0.5893
1991/4/16,0.5911
1991/4/17,0.5932
1991/4/18,0.5905
1991/4/19,0.589
1991/4/22,0.5865
1991/4/23,0.5876
1991/4/24,0.5837
1991/4/25,0.5855
1991/4/26,0.587
1991/4/29,0.5887
1991/4/30,0.5897
1991/5/1,0.589
1991/5/2,0.5852
1991/5/3,0.5865
1991/5/6,0.589
1991/5/7,0.5878
1991/5/8,0.5886
1991/5/9,0.59
1991/5/10,0.589
1991/5/13,0.5885
1991/5/14,0.5898
1991/5/15,0.5885
1991/5/16,0.5913
1991/5/17,0.591
1991/5/20,0.5875
